iter	Passed	Remaining
0	149	148991
1	151	75788
2	153	51134
3	156	38848
4	160	31946
5	162	26853
6	163	23223
7	167	20774
8	169	18629
9	175	17382
10	182	16367
11	185	15286
12	193	14692
13	196	13806
14	198	13011
15	200	12308
16	207	11977
17	209	11416
18	211	10908
19	213	10460
20	215	10052
21	220	9816
22	261	11099
23	265	10802
24	268	10471
25	283	10605
26	299	10784
27	305	10593
28	312	10475
29	315	10203
30	317	9936
31	319	9679
32	323	9472
33	328	9326
34	344	9493
35	347	9298
36	372	9689
37	377	9561
38	382	9423
39	385	9261
40	390	9137
41	393	8964
42	394	8788
43	396	8625
44	398	8464
45	400	8309
46	404	8206
47	491	9743
48	502	9759
49	514	9781
50	518	9640
51	527	9618
52	534	9543
53	538	9432
54	544	9361
55	546	9216
56	548	9080
57	551	8957
58	558	8906
59	628	9854
60	638	9833
61	640	9694
62	650	9676
63	657	9614
64	692	9955
65	699	9896
66	702	9781
67	705	9663
68	707	9539
69	712	9465
70	733	9602
71	750	9675
72	752	9558
73	754	9443
74	763	9410
75	781	9499
76	803	9629
77	809	9574
78	825	9623
79	828	9525
80	836	9490
81	838	9388
82	840	9285
83	849	9260
84	851	9161
85	869	9239
86	872	9154
87	922	9562
88	926	9484
89	945	9555
90	958	9573
91	960	9480
92	963	9398
93	974	9391
94	977	9310
95	979	9223
96	983	9157
97	1034	9523
98	1050	9561
99	1081	9729
100	1087	9680
101	1164	10253
102	1280	11151
103	1282	11049
104	1285	10959
105	1288	10867
106	1290	10772
107	1302	10754
108	1304	10660
109	1307	10576
110	1319	10564
111	1321	10475
112	1333	10468
113	1371	10655
114	1380	10626
115	1383	10546
116	1405	10605
117	1416	10585
118	1418	10502
119	1425	10456
120	1433	10414
121	1435	10328
122	1438	10260
123	1476	10432
124	1486	10407
125	1493	10356
126	1496	10288
127	1504	10251
128	1516	10236
129	1519	10169
130	1522	10101
131	1531	10069
132	1533	9997
133	1539	9949
134	1541	9878
135	1557	9894
136	1559	9825
137	1563	9768
138	1565	9699
139	1569	9644
140	1576	9604
141	1577	9532
142	1584	9497
143	1594	9480
144	1597	9418
145	1599	9355
146	1609	9338
147	1613	9291
148	1616	9235
149	1625	9212
150	1627	9152
151	1629	9092
152	1632	9037
153	1636	8987
154	1641	8947
155	1650	8930
156	1652	8875
157	1666	8878
158	1668	8826
159	1671	8774
160	1680	8756
161	1682	8704
162	1685	8655
163	1696	8646
164	1698	8596
165	1709	8588
166	1712	8540
167	1714	8492
168	1716	8442
169	1740	8496
170	1755	8508
171	1764	8493
172	1772	8471
173	1777	8435
174	1808	8524
175	1821	8528
176	1838	8547
177	1840	8499
178	1842	8451
179	1847	8417
180	1854	8389
181	1856	8344
182	1859	8300
183	1868	8288
184	1871	8244
185	1873	8200
186	1880	8175
187	1882	8131
188	1888	8105
189	1894	8075
190	1896	8034
191	1899	7992
192	1901	7950
193	1903	7910
194	1909	7882
195	1912	7843
196	1916	7810
197	1918	7769
198	1920	7730
199	1927	7709
200	1929	7669
201	1945	7685
202	1958	7690
203	1961	7654
204	1964	7619
205	1972	7603
206	1974	7565
207	1976	7526
208	1980	7494
209	1988	7480
210	1990	7443
211	1992	7406
212	1995	7371
213	2005	7365
214	2007	7329
215	2014	7313
216	2019	7286
217	2022	7255
218	2025	7223
219	2031	7202
220	2040	7191
221	2055	7203
222	2067	7202
223	2070	7171
224	2072	7137
225	2076	7112
226	2079	7080
227	2084	7057
228	2098	7064
229	2102	7039
230	2115	7042
231	2125	7036
232	2127	7003
233	2130	6974
234	2137	6957
235	2145	6946
236	2148	6916
237	2150	6884
238	2154	6859
239	2165	6857
240	2167	6826
241	2199	6889
242	2231	6950
243	2246	6960
244	2249	6931
245	2252	6904
246	2259	6888
247	2262	6860
248	2265	6833
249	2277	6833
250	2280	6805
251	2282	6775
252	2311	6823
253	2326	6833
254	2329	6806
255	2341	6803
256	2344	6777
257	2346	6747
258	2351	6727
259	2353	6698
260	2355	6669
261	2357	6641
262	2359	6613
263	2362	6586
264	2367	6565
265	2369	6537
266	2371	6510
267	2382	6507
268	2391	6497
269	2394	6473
270	2410	6483
271	2413	6459
272	2419	6442
273	2423	6422
274	2427	6399
275	2437	6394
276	2470	6449
277	2474	6425
278	2476	6399
279	2481	6381
280	2496	6387
281	2498	6362
282	2515	6372
283	2529	6377
284	2536	6363
285	2542	6346
286	2547	6327
287	2570	6354
288	2575	6335
289	2605	6378
290	2635	6421
291	2638	6396
292	2653	6403
293	2668	6407
294	2671	6384
295	2675	6363
296	2686	6359
297	2717	6401
298	2731	6403
299	2734	6380
300	2763	6418
301	2772	6408
302	2779	6394
303	2782	6369
304	2787	6350
305	2791	6331
306	2793	6306
307	2819	6335
308	2829	6328
309	2832	6303
310	2834	6278
311	2836	6254
312	2842	6238
313	2848	6223
314	2850	6199
315	2856	6183
316	2858	6159
317	2864	6142
318	2866	6118
319	2871	6101
320	2925	6187
321	2928	6165
322	2930	6142
323	2932	6117
324	2940	6106
325	2942	6082
326	2947	6065
327	2952	6049
328	2954	6026
329	2956	6002
330	2958	5979
331	2962	5960
332	2971	5951
333	2976	5935
334	2986	5928
335	2988	5906
336	2990	5883
337	2992	5861
338	2995	5840
339	3003	5830
340	3007	5811
341	3009	5789
342	3015	5776
343	3032	5782
344	3037	5766
345	3049	5764
346	3053	5745
347	3115	5836
348	3117	5814
349	3119	5793
350	3128	5784
351	3130	5762
352	3132	5741
353	3134	5719
354	3136	5699
355	3139	5679
356	3144	5664
357	3163	5672
358	3170	5661
359	3175	5646
360	3186	5640
361	3200	5641
362	3206	5627
363	3208	5606
364	3210	5585
365	3213	5565
366	3215	5546
367	3217	5526
368	3222	5510
369	3224	5491
370	3230	5477
371	3233	5458
372	3238	5443
373	3240	5423
374	3244	5407
375	3246	5388
376	3257	5382
377	3260	5365
378	3271	5359
379	3274	5343
380	3276	5323
381	3279	5304
382	3289	5299
383	3292	5282
384	3301	5274
385	3304	5255
386	3306	5237
387	3309	5220
388	3325	5223
389	3335	5216
